aluguel,condominio,iptu,descricao,endereco,bairro,area,qtd_quartos,qtd_vagas,qtd_banheiros
1400,434,75,"Apartamento compacto no bairro Messejana, com localização de fácil acesso à rodovia BR-116, próximo ao Frangolândia Supermercado e a Escola Paulo Freire. Imóvel com 55m², sala, var..."," Messejana, Fortaleza
",Cambeba,55,3,1,2
4900,434,75,"Apto de Luxo de 02 quartos, andar alto, vista lateral do mar, no melhor pedaço da Beira Mar, sendo 01 suite master com closet e banheira e wc social, armários fixos, mobilias ( Cam..."," Rua Joaquim Nabuco, Meireles
",Meireles,74,2,2,1
1409,434,75,"M-100) Excelente apartamento bem localizado na Rua Oto de Alencar, 171, centro, Fortaleza-CE, próximo a faculdade FAMETRO. O imóvel é de ótima qualidade para quem procura um apart..."," Rua Oto de Alencar, Centro
",Centro,40,2,1,1
2000,471,81,"O apartamento está localizado no bairro São Gerardo / Monte Castelo, possui 65 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros, Sala de Estar/Jantar, Varanda, Cozinha co..."," Avenida Sargento Hermínio Sampaio, Sao Gerardo
",Sao Gerardo,65,2,2,2
1709,490,400,Condomínio c/ 05 andares c/ elevador 01 Vaga coberta Suíte c/ varanda Port 24 hs Visitas agendar 9 9721=1385 whats Claudio Aguiar corretor de imoveis creci 9301 Apto 02 quartos...," Rua Gonçalves Ledo, Centro
",Centro,50,2,1,2
800,267,74,"Um canto para quem preza por conforto e qualidade de vida. Aqui você tem grandes vantagens, como localização, preço e funcionalidades. Um lindo apartamento bem localizado no bairro..."," Rua C, Parque Dois Irmãos
",Parque Dois Irmãos,62,2,1,2
2600,490,400,O apartamento está localizado no bairro Jardim Gonzaga tem 91 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros," Rua Antônio Correia Celestino, Jardim Gonzaga
",Jardim Gonzaga,91,3,4,2
1400,320,80,"Apartamento para Locação, Reserva dos Ipês no bairro Passaré, localizado na cidade de Fortaleza / CE. ALUGUEL: 1.400,00 CONDOMINIO: 320,00 PARCELA IPTU: 80,00 Com 2 dormitórios,..."," Avenida da Saudade, Passaré
",Passaré,54,3,2,2
1550,550,400,"SAN SIRO IMÓVEIS - Excelente apartamento em área nobre, apenas 100 metros da Av Beira Mar. Melhor localização da cidade. . Apartamento amplo e arejado, mobiliado, com 82m, compost..."," Rua da Paz, Mucuripe
",Mucuripe,82,2,1,1
2400,480,400,"Apartamento compacto, 1ª locação, na melhor localização da aldeota, localizado à rua José Vilar, poucos metros da Av. Santos Dumont na altura do Banco do nordeste. Dispõe de lazer..."," Rua José Vilar, Aldeota
",Aldeota,37,1,1,1
2209,353,75,"Apartamento com 2 quartos sendo 1 suíte, 2 banheiros, sala, cozinha, banheiro e área de serviço, varanda gourmet e vaga na garagem. Conte com um condomínio com área de lazer compl..."," Rua Coronel Luiz David de Souza, Presidente Kennedy
",Presidente Kennedy,65,2,2,2
2500,790,927,"ATANÇÃO: NÃO RESPONDEMOS O CHAT OLX. FAVOR CHAMAR NO CELULAR. Oportunidade imperdível para morar em uma das regiões mais nobres e valorizadas da cidade, a Praia de Iracema. Fica n..."," Avenida Historiador Raimundo Girão, Praia de Iracema
",Praia de Iracema,74,2,1,2
1280,491,400,"APARTAMENTO NO PARQUE DEL SOL, COM 03 QUARTOS SENDO 1 SUITE, COZINHA, AREA DE SERVIÇO, 2 BANHEIROS, SALA, VARANDA, 1 VAGA DE GARAGEM COBERTA. Condominio com portaria 24 hs, quadra,..."," Rua José Nogueira Freire, Parque Iracema
",Parque Iracema,,3,1,2
1600,0,400,"Apartamento novo com 2 quartos sendo 1 suíte, cozinha, área de serviço, vista mar. Prédio novo com 2 elevadores, piscina, deck com churrasquira, 1 vaga. Localização privilegiada pr..."," Icarai, Amontada
",Amontada,62,3,1,1
750,0,100,"Excelente oportunidade para locação no centro, super bem localizado, próximo ao centro fashion, mercado São Sebastião, supermercados. o imóvel possui; Sala, 02 quartos, cozinha ame..."," Rua Pedro Pereira, Centro
",Centro,50,2,,1
2000,548,400,"Edifício Parque Rio Branco! Este belíssimo apartamento de 2 quartos, sendo 1 suíte, wc social, varanda, armários, 1 vaga, área privativa 61m². O condomínio possui diversas opções d..."," Avenida Visconde do Rio Branco, Fátima
",Fátima,61,2,1,2
1100,360,600,"O apartamento está localizado no bairro Barra do Ceará tem 62 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui academia, espaço jardinado, playground, espaço para..."," Avenida Francisco Sá, Barra do Ceará
",Barra do Ceará,62,3,1,2
2600,600,400,"O nosso apartamento e mobiliados e equipados com ar condicionado, closet, TV com canais a cabo, Wi-Fi free, cozinha com utensílios, fogão, geladeira, microondas e estacionamento, p..."," Avenida Historiador Raimundo Girão, Meireles
",Meireles,72,2,1,2
1300,250,50,"Apartamento localizado no bairro Joaquim Távora, com 50m², com sala para 02 ambientes, cozinha, área de serviço. 01 vaga de garagem. Condomínio com com elevador, piscina, portaria..."," Joaquim Tavora, Fortaleza
",Joaquim Tavora,50,2,1,1
3300,547,440,"Excelente opção apartamento em condomínio com área de lazer completa no bairro Joaquim Távora, localizado na Av. Visconde do Rio Branco, a poucos metros das avenidas Soriano Albuqu..."," Joaquim Tavora, Fortaleza
",Joaquim Tavora,106,3,2,4
1200,100,400,"Morar ao lado das pessoas que amamos em um ambiente que oferece a oportunidade de viver com qualidade de vida e bastante conforto, agora é possível. Conheça um excelente apartament..."," Rua Tenente Moacir Matos, Montese
",Montese,50,2,2,1
905,333,400,"Apartamento em Jurema, compacto com 50m², com localização privilegiada. Imóvel no térreo, com 2 quartos, sendo 1 suíte, sala, varanda, cozinha, área de serviço, banheiro social e 1..."," Parque Guadalajara Jurema, Caucaia
",Caucaia,50,2,1,2
2500,842,75,"O bairro Meireles é conhecido por possuir bons restaurantes, farmácias, supermercados, praças, hospitais e está próximo a algumas das melhores vias de acesso da cidade. Além de pos..."," Rua Visconde de Mauá, Meireles
",Meireles,72,2,2,2
1100,610,400,"Ótimo apartamento na Parangaba, Av. João Pessoa (Condomínio Everest), muito bem localizado, bem servido de todos os serviços essenciais, ônibus na porta, próximo ao Shopping Parang..."," Avenida João Pessoa, Parangaba
",Parangaba,64,3,1,3
2009,0,400,JÁ ESTAMOS RESERVANDO ENTREGA AGORA EM JUNHO garanta sua unidade Aptos novos 1º locação a partir de 2.009 no 1º e 2º andares já incluso condomínio e iptu e Agua 9 9721=1385 whats...," Rua José Vilar, Dionísio Torres
",Dionísio Torres,65,2,1,2
1750,510,400,"Apartamento no bairro São Gerardo, localizado na rua Antonina do Norte, a poucos metros da Av. Bezerra de Menezes, próximo ao centro universitário UniFanor. Imóvel com 115m², 3 qua..."," Sao Gerardo, Fortaleza
",Sao Gerardo,115,3,1,3
900,530,70,"Adriano Freire Imóveis aluga apartamento no Condomínio Bosque das Damas Apartamento com 3 quartos (sendo 2 suítes), sala conjugada com varanda, cozinha, banheiro social, área de..."," Rua Júlio César, Damas
",Damas,70,3,1,3
1300,150,293,"Apartamento dispõe de 57m², sala ampla, varanda, cozinha americana, 2 quartos com armários sendo 1 suíte e 1 com ar-condicionado, banheiro social, área de serviço e 1 vaga de garag..."," Rua Irmã Bazet, Montese
",Montese,57,2,1,2
3500,1186,1448,"Reis imóveis, whatsapp (85)9.8898.7274 - informe o cod. FAAR68894 Apartamento na melhor coluna nascente, andar alto, com 112m², 3 suítes, closet casal, varandas, estar íntimo, ban..."," Rua Bento Albuquerque, Cocó
",Cocó,112,3,2,4
2300,669,90,"Sofisticação, elegância e uma ótima localização, são características que definem muito bem esse belíssimo apartamento que a 7cantos encontrou para você. O imóvel está localizado na..."," Avenida Jovita Feitosa, Pici
",Pici,70,3,1,2
900,255,400,"Apto para alugar com ótima localização, próximo a Godofredo Maciel, 1 andar nascente, cozinha projetada com área de lazer completa."," Planalto Ayrton Senna, Fortaleza
",Sao Gerardo,48,2,1,1
1700,630,1135,ATANÇÃO: NÃO RESPONDEMOS O CHAT OLX. FAVOR CHAMAR NO CELULAR. Localizado em um dos bairros mais nobres de Fortaleza e próximo às avenidas Engenheiro Alberto Sá e Almirante Henriqu...," Rua Tavares Coutinho, Varjota
",Varjota,94,3,2,3
3500,1000,97,"O apartamento está localizado no bairro Varjota tem 130 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui academia, jardim, playground, espaço para festas. Vai lhe..."," Rua Oito de Setembro, Varjota
",Varjota,130,3,2,4
900,180,365,"Aptº ampla03 quartos,1 suíte,dependência de empregada, com garagem,01 vaga, varanda. Próximo a Hospital Geral de Fortaleza, colégio, padarias, farmácias, supermercados, fármacias,..."," Rua Doutor Batista de Oliveira, Papicu
",Papicu,120,3,1,2
3950,1079,2156,"Apartamento no Parque Del Sol, no bairro Parque Iracema possui 141 metros quadrados com 4 quartos sendo 3 suites e 5 banheiros, 3 vagas"," Rua 3, Parque Iracema
",Parque Iracema,141,4,3,5
1700,355,300,"O apartamento está localizado no bairro Jacarecanga possui 50 metros quadrados , vista mar , mobiliado , com 2 quartos e 1 banheiro, varanda, 1 vaga de garagem Possui área de fitn..."," Rua Padre Constantino, Jacarecanga
",Jacarecanga,50,2,1,1
250,0,300,"Preço por dia: A partir do R$ 250,00. O apartamento está localizado no bairro Meireles com 56 metros quadrados com 1 quarto sendo 1 suite e 2 banheiros Possui academia, jardim, ár..."," Rua Barão de Aracati, Meireles
",Meireles,56,2,1,2
2600,600,137,"O apartamento está localizado no bairro Engenheiro Luciano Cavalcante com 80 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui área de fitness, espaço gourmet, esp..."," Rua Gontran Giffoni, Engenheiro Luciano Cavalcante
",Engenheiro Luciano Cavalcante,80,3,2,4
2800,490,300,O apartamento está localizado no bairro Engenheiro Luciano Cavalcante possui 72m com 3 quartos sendo 2 suítes e 2 banheiros VENDO TAMBEM OPORTUNIDADE FAÇO SIMULAÇÃO SEM COMPROMIS...," Rua Luiza Miranda Coelho, Engenheiro Luciano Cavalcante
",Engenheiro Luciano Cavalcante,72,3,2,2
2700,639,177,"Apartamento com 68,41m², 3 quartos (sendo 1 suíte) 2 banheiros e 2 vagas cobertas na garagem, cozinha padrão americano. Condomínio no Benfica com excelente espaço de lazer. Área fi..."," Rua Senador Pompeu, Benfica
",Benfica,68,3,2,2
2400,608,300,"Você busca um apartamento confortável e moderno? Então, o Edifício Eridan Mendonça é a escolha perfeita para você! O apartamento conta com 2 quartos, sendo 1 suíte, wc social, sala..."," Rua Doutor José Lourenço, Joaquim Tavora
",Joaquim Tavora,59,2,2,3
2500,670,2319,"Excelente apartamento projetado dispõe de 80m², sala ampla com rack painel, varanda extensa, cozinha projetada, 3 suítes sendo 1 reversível e 1 máster com varanda, área de serviço..."," Rua Doutor Francisco Gadelha, Engenheiro Luciano Cavalcante
",Engenheiro Luciano Cavalcante,80,3,2,3
2100,455,300,"Excelente opção de apartamento em condomínio clube com área de lazer completa no Parque del Sol, complexo considerado um bairro planejado e urbanizado, com uma área equivalente a m..."," Parque Iracema, Fortaleza
",Sao Gerardo,57,2,2,2
1700,580,300,"Apartamento 3 dormitórios para Locação, Edifício Biscayne Place no bairro Meireles, localizado na cidade de Fortaleza / CE. Com 3 dormitórios, sendo 1 suíte, possui 2 banheiros, 2..."," Rua Nunes Valente, Meireles
",Meireles,66,3,2,2
1250,200,100,"Apartamento localizado na Sapiranga próximo Av Edilson Brasil Soares, com 50m², sala, cozinha, área de serviço, 02 quartos, 01 banheiro, 01 vaga de garagem. Condomínio com portari..."," Sapiranga, Fortaleza
",Sao Gerardo,50,2,1,1
1514,600,86,"R$ 2.100,00 (Aluguel, condomínio, IPTU, água e gás); - Vista panorâmica pro mar; - 2 quartos, sendo 1 suíte; - Varandão; - Lazer completo, com piscina, quadra, deck com churrasquei..."," Avenida Dioguinho, Praia do Futuro II
",Praia do Futuro II,65,2,2,2
1800,650,900,"Apartamento com 63m², sendo dividido em uma ampla sala em L, cozinha conjugada com área de serviço, uma suite com armario, wc. social, uma vaga de garagem, condominio com lazer com..."," Rua Tomás Lopes, Praia de Iracema
",Praia de Iracema,63,1,1,2
1000,650,900,"Apto térreo 81m², varanda grande, sala em L, 1 suíte, 1 quarto, despensa, 1 vaga, de garagem, porteiro e interfone, Proximo a Av. Beira Mar. Agende uma visita"," Rua Ildefonso Albano, Meireles
",Meireles,81,2,1,3
1200,475,443,"Localizado a 2 quadras da Av. Bezerra de Menezes, próximo ao Detran, Colégio Maximus, Restaurante Alecrins, Casa Blanca, Restaurante Bitonho & Cia, Banco Caixa, Supermercado Cometa..."," Rua General Piragibe, Parquelândia
",Parquelândia,59,2,1,2
1200,364,469,"AP2038 - Imobiliária Luiz Rêgo aluga apartamento novo no Passaré no condomínio Reserva dos Ipês, com: Varanda / sala de estar e jantar/ cozinha americana com armários/ área de ser..."," Avenida da Saudade, Passaré
",Passaré,48,2,2,2
1800,811,900,"Aluga-se apartamento em excelente localização no Bairro de Fátima. Imóvel com área total de 107,97 m², divididos em: - Sala ampla - Varanda - Cozinha mobiliada - 3 suítes com mó..."," Rua Coronel Pergentino Ferreira, Fátima
",Fátima,107,3,2,4
750,250,900,"Apartamento dispõe de 50m², sala, cozinha com área de serviço, 3 quartos sendo 1 suíte, banheiro social e 1 vaga de garagem rotativa. Localizado a 1 quadra da Avenida Mister Hull,..."," Rua Rio Negro, Tabapuã
",Tabapuã,50,3,1,2
2800,565,127,"Condomínio Terraço dos Pássaros - SUPER Área de Lazer !! Localizado na Rua José Ribamar, nº 100 - Parque Iracema à 10 min do Shopping ViaSul, próximo ao Super Lagoa, lojas diversa..."," Rua José Ribamar Soares Aguiar, Parque Iracema
",Parque Iracema,87,3,2,2
3200,350,33,"Apartamento para Aluguel - Nossa Sra das Graças, 2 Quartos, 70 m2. Sobre o imóvel: Valores: - Aluguel: R$ 3200 - Condomínio: R$ 350 - IPTU: R$ 33 Que tal agendar uma visita? Ent..."," Rua Jonh Lennon, Messejana
",Messejana,70,2,2,2
1800,690,829,"Apartamento no bairro Aldeota, em uma das regiões mas valorizadas em Fortaleza. Fica na Av. Rui Barbosa, a 2 quarteirões da Av. Santos Dumont, próximo ao Super Mercadinhos São Luiz..."," Avenida Rui Barbosa, Aldeota
",Aldeota,65,3,,2
1200,300,900,"Apartamento para locação no Residencial Vivendas da Lagoa com opção de uma ou duas vagas de garagem. Dois elevadores, deck com piscina e churrasqueira, salão de festas, hall de ent..."," Rua Doutor Possidônio Bem, Lagoa Seca
",Lagoa Seca,75,3,1,2
850,320,900,"Tenho o prazer de apresentar um apartamento encantador que atende às suas necessidades. Este apartamento possui dois quartos, perfeito para um casal ou uma pequena família. A coz..."," Avenida Juscelino Kubitschek, Passaré
",Passaré,48,2,1,1
2395,994,85,"Excelente localizção no Meireles, Ed Villa Beirute, andar alto, com 70m², 03 quartos (sendo 01 suíte), sala de estar e jantar com varanda, gabinete, wc social, cozinha com área de..."," Rua Ana Bilhar, Meireles
",Meireles,70,3,2,3
850,0,900,"Apartamento de 160m², com 3 quartos, 1 sendo suíte, armários, living, varanda, 2 vagas, prox. ao Clube Ideal. OBS: No valor de aluguel, não está inclusa a taxa de condomínio."," Rua Antonele Bezerra, Meireles
",Meireles,160,3,2,3
1300,0,321,"Localizado a 4 quadras da Av. Bezerra de Menezes, próximo ao North Shopping, Igreja Santo Afonso, Supermercado Cometa, Farmácias Pague Menos, Centro Veterinário Animal & Cia, entre..."," Rua Amadeu Furtado, Parquelândia
",Parquelândia,56,2,1,2
1020,580,900,"Sala ampla, cozinha americana(alguns armários), pequena área de serviço, 3 quartos (sendo 1 suite c/ guarda roupa) e 1 wc social, 1 vaga de garagem coberta. Excelente área de lazer..."," Avenida General Osório de Paiva, Parangaba
",Parangaba,65,3,1,2
1000,200,900,"Dispõe de 48m², sala ampla, cozinha, área de serviço, 3 quartos sendo 1 suíte, banheiro social e 1 vaga de garagem. Localizado próximo a PRF, Av. Paulino Rocha, Grand Shopping, Sup..."," Rua Francisca Nogueira Ramos, Cajazeiras
",Cajazeiras,48,3,1,2
989,332,69,"(J-555) More bem, você merece! Venha já conhecer o condomínio Campina Verde, oferecendo todo conforto para você e sua família, ótima infraestrutura e segurança. Localizado na Rua E..."," Rua Ezequiel Campinas, Eusebio
",Eusebio,63,3,2,2
1300,320,900,"Excelente apartamento com 2 quarto sendo 1 suíte, wc social, armários, 1 vaga, área privativa 48,30m². Condomínio dispõe de poscina, deck com churrasqueira, playground, salão de fe..."," Rua Ministro Petrônio Portela, Edson Queiroz
",Edson Queiroz,48,2,1,2
4200,763,179,"Muito mais do que o simples lugar para morar, o condomínio Moma é uma verdadeira obra de arte. Localizado a poucos metros da Av. Santos Dumont, no melhor do bairro Dunas, uma área..."," Rua Vilebaldo Aguiar, Cocó
",Cocó,111,3,2,4
300,0,900,"Apartamento alto padrão, 2 quartos, sala e cozinha, 100% mobiliado com móveis projetados, TV, utensílios domésticos, localização privilegiada no melhor da Beira Mar em Fortaleza...."," Avenida Beira Mar, Meireles
",Meireles,83,2,1,2
900,230,900,"Belíssimo empreendimento novo entregue em Nov/2022. Apartamento disponível para 1ª locação, 5° andar, do lado nascente, excelente ventilação, bem localizado na Av. Juscelino Kubits..."," Avenida Juscelino Kubitschek, Passaré
",Passaré,48,2,1,1
1700,650,120,"Excelente apartamento mobiliado com sala ampla, 3 quartos sendo uma suíte, varanda, WC social, vaga de garagem, cozinha e área de serviço, área privativa de 64m², o condomínio cont..."," Rua Comandante Prata, Mucuripe
",Mucuripe,45,3,1,2
3400,600,190,"Excelente apartamento em frente ao aterro da Praia de Iracema com 2 quartos, 3 banheiros, ar-condicionado nos quartos, guarda-roupas, cozinha equipada com armários, fogão e geladei..."," Avenida Historiador Raimundo Girão, Meireles
",Meireles,70,2,1,3
700,369,500,"Uma ótima opção para quem procura conforto e comodidade! Localizado no bairro Itaperi, o imóvel dispõe de vários fatores que farão com que sua moradia seja cômoda e confortável, al..."," Vila Três Américas, Itaperi
",Itaperi,65,2,1,1
1700,400,90,"O apartamento está localizado no bairro Passaré possui 62 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro Possui área de fitness, jardim, área de brinquedo para as crianç..."," Rua das Carnaúbas, Passaré
",Passaré,62,3,1,1
2500,460,103,"52m², Sala, 02 Dormitórios Sendo 01 Suíte, W.C Social, Cozinha/Área De Serviço, 01 Vaga, Mini Campo, Playground, Salão De Festas, Espaço Infantil, Fitness, Deck, Piscinas. Próximo..."," Avenida Francisco Sá, Jacarecanga
",Jacarecanga,52,2,1,2
5750,785,211,"Apartamento com área privativa de 109m², distribuídos em 2 dormitórios sociais sendo uma suíte, wc social, sala de estar/ jantar, varanda social, cozinha, área de serviço, dce e 1..."," Avenida Historiador Raimundo Girão, Meireles
",Meireles,109,2,1,3
4000,1000,312,"Apresentamos o seu lugar ao sol, em uma das praias mais valorizadas do Ceará. O apartamento localizado na praia Porto das Dunas. O bairro possui bares, restaurantes, hotéis, superm..."," Rua Serra, Porto das Dunas
",Porto das Dunas,65,2,1,2
900,400,650,Apartamento para locação no Passaré! Condomínio Portal dos Pássaros! - 70m² - Sala - 3 quartos sendo 1 suíte - 1 banheiro social - Cozinha - Área de serviço - 1 vaga de garagem...," Rua Amâncio Pereira, Passaré
",Passaré,70,3,1,2
3000,350,650,"Res. Fortaleza Sul O apartamento no bairro Edson Queiroz tem 71m, com 3 quartos e 2 suítes, sala, cozinha, varanda… VENDO TAMBÉM! Faço simulação sem compromisso! ACEITO FINANCIAM..."," Rua Hil de Moraes, Edson Queiroz
",Edson Queiroz,71,3,2,2
1400,370,650,"Sky Tower - Centro. Ótima opção de apartamento para locação, 2 quartos (sendo uma suíte reversível), sala, cozinha, projetado, andar alto, 1 vaga, lazer com salão de festa, academ..."," Rua Vinte e Cinco de Março, Centro
",Centro,44,2,1,1
450,0,650,Para orçamentos entrar em contato por WhatsApp (85) 99985.6282 SÓ LOCAMOS PARA NO MÍNIMO 3 NOITES * Valor que utilizamos no site é o da Tarifa Básica e é válida apenas em BAIXA...," Rua Silva Jatahy, Meireles
",Meireles,90,3,2,3
1405,312,650,"Com 3 quartos sendo 1 suíte, sala de estar/jantar, cozinha, 2 banheiros, vaga de garagem. Imóvel bem localizado na região do Montese, fácil acesso à Av. João Pessoa, com acessibili..."," Rua Primeiro de Julho, Montese
",Montese,60,3,1,2
6000,1300,2950,"O apartamento está localizado no bairro Porto das Dunas com 131 metros quadrados com 3 quartos sendo 2 suites e 1 banheiro PORTEIRA FECHAD VAGA 2 CARROS TV ,SOMENTE NA SALA LAVABEL..."," Rua Leão Marinho, Porto das Dunas
",Porto das Dunas,131,3,2,3
2300,550,650,"O apartamento está localizado no bairro Cocó com 76 metros quadrados com 1 quarto sendo 1 suite e 2 banheiros Possui área de fitness, espaço jardinado, espaço gourmet, playground,..."," Rua Doutor Batista de Oliveira, Cocó
",Cocó,38,1,1,1
3500,900,240,"Soho Residence, Apt com 91,75 m², 03 quartos, sendo 2 suítes, WC na área de serviço, varanda gourmet e 2 vagas de garagem. Um condominio com Lazer Completo, com Quadra Poliesportiv..."," Rua Maria Odalea Pires da Silva, Edson Queiroz
",Edson Queiroz,91,3,2,3
950,432,650,"Apto com 68m² térreo, dividido em uma ampla sala em L, cozinha americana c/ armários, 3 quartos sendo 1 suíte, wc social, área de serviço, condomínio fechado com portaria virtual,..."," Rua Barão Aquiraz, Messejana
",Messejana,68,3,1,3
2700,432,650,"O apartamento no bairro Praia de Iracema com 43 metros quadrados com 1 suíte, sala, cozinha e varanda vista mar. Possui academia toda equipada, salão de jogos, jardim, espaço gour..."," Rua Dragão do Mar, Praia de Iracema
",Praia de Iracema,43,1,1,1
1300,432,650,O apartamento está localizado no bairro Planalto com 68 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros," Rua José Alberto Pereira Pimentel, Planalto
",Planalto,68,3,1,2
2200,600,75,"O apartamento no bairro Centro possui 62 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área verde de jardim, área de recreação infantil.Elevador que garante o t..."," Avenida Dom Manuel, Centro
",Centro,62,2,1,2
950,218,650,"O apartamento no bairro Coacu tem 40 metros quadrados com 2 quartos e 1 banheiro Possui espaço gourmet, espaço jardinado, área de recreação infantil, salão para festas e eventos. V..."," Rua Alameda Verde, Coacu
",Coacu,40,2,1,1
